input_sentence,output_sentence,vectorial_distance
The scientist explores passionately sweet music because without stopping although in the city every day,The scientist passionately researches soft music because without stopping despite the city every day,0.13881469
The artist runs passionately sweet music while in the city as near the ocean every,The artist passionately plays soft music in the city and by the ocean every day.,0.1394465
My friend discovers joyfully wonderful stories while under the stars and with friends with great,My friend happily discovers wonderful stories under the stars and with great friends,0.034234047
The artist creates thoughtfully beautiful art because every day although for hours as near the,"The artist creates works of art of thoughtful beauty, because every day, although for hours, close to",0.10136098
A child explores passionately in the garden although for hours while every day near the,A child passionately explores in kindergarten even if for hours every other day,0.25297815
A child explores creatively new technologies and in the morning as near the ocean every,"A child creatively explores new technologies and in the morning, by the ocean, every",0.02450341
My friend discovers thoughtfully hidden treasures as with friends when around the world under the,My friend discovers carefully hidden treasures like with friends when he travels underworld,0.17297405
The teacher plays carefully important lessons and with great care as without stopping with great,"The teacher plays the important lessons carefully and very carefully, without stopping with much",0.16056156
A dog jumps creatively through the forest as under the stars although in the city,A dog jumps creatively in the forest as if under the stars even though it is in the city,0.027023196
The writer creates creatively beautiful art because around the world while under the stars near,"The writer creates an art of creative beauty because everywhere in the world, under the stars nearby",0.061489344
A dog plays passionately about life as near the ocean when without stopping in the,A dog plays with passion in life like at the edge of the ocean without stopping,0.06283969
The musician teaches energetically amazing structures as under the stars although under the stars with,The musician teaches energetically amazing structures like under the stars though under the stars with,0.010120153
My friend discovers passionately in the garden because without stopping because every day for hours,My friend passionately discovers in the garden that without stopping that every day for hours,0.085656166
The writer writes energetically sweet music because in the morning because with great care near,The writer writes sweet energetic music that in the morning because very carefully nearby,0.08042413
A child thinks carefully wonderful stories and under the stars because around the world in,"A child thinks well of wonderful stories and under the stars, because all over the world",0.027758121
The scientist explores creatively in the garden when for hours because without stopping every day,The scientist creatively explores in the garden for hours without stopping every day,0.020697355
My friend runs quickly wonderful stories as for hours although with friends although with great,My friend tells wonderful stories quickly as for hours though with friends though with many,0.2738061
The writer runs enthusiastically through the forest because in the morning as in the morning,The writer runs enthusiastically in the forest because morning is like morning,0.03535056
A child writes diligently hidden treasures and under the stars and without stopping with friends,A child writes diligently about hidden treasures and under the stars and without stopping with friends,0.0175367
A dog writes joyfully new technologies and in the morning and every day with friends,A dog happily writes about new technologies and in the morning and every day with friends,0.029832542
A child plays diligently wonderful stories while in the city and in the morning without,A child diligently plays wonderful stories in the city and in the morning without,0.021384776
A child discovers diligently in the garden and with friends while with great care with,A child discovers diligently in kindergarten and among his friends while paying great attention to,0.3059749
The teacher explores enthusiastically hidden treasures when for hours although in the morning around the,"The teacher enthusiastically explores the hidden treasures for hours, even if it is in the morning around the school.",0.051526606
The artist plays enthusiastically amazing structures although for hours because every day because in the,"The artist enthusiastically plays amazing structures, although for hours because every day because in",0.017093837
The engineer writes carefully important lessons and with great care although for hours in the,"The engineer records important lessons very carefully and carefully, even if for hours",0.18245167
The musician creates energetically important lessons when under the stars although around the world in,"The musician creates energetically important classes under the stars, but all over the world.",0.10519642
The writer plays thoughtfully sweet music and for hours while in the city without stopping,The writer plays soft and thoughtful music and for hours around the city without a break,0.093592525
A child writes creatively through the forest and near the ocean and around the world,"A child writes creatively through the forest, by the ocean and around the world",0.012863278
A child writes carefully sweet music and near the ocean although under the stars without,A child carefully writes soft music close to the ocean though under the stars without,0.047923326
My friend thinks joyfully about life although near the ocean while for hours near the,My friend is happily thinking about life even though he is next to the ocean in the next few hours,0.13896799
The cat explores peacefully amazing structures as in the city when in the morning under,The cat calmly explores amazing buildings like in a city when it's morning below,0.08678019
My friend creates quickly beautiful art although for hours because every day when every day,"My friend quickly creates beautiful works of art, even if for hours, because every day when every day",0.04132706
The musician runs joyfully important lessons because every day while with great care around the,"The musician happily gives important lessons, because every day, very carefully,",0.15468657
The cat explores diligently amazing structures while with friends and with great care in the,The cat diligently explores amazing buildings with friends and very carefully in the field,0.1643666
The scientist runs passionately in the garden although around the world as with friends near,The scientist runs passionately in the garden though around the world as with close friends,0.026448369
A dog discovers energetically through the forest and without stopping and without stopping in the,A dog explores energetically through the forest and without stopping and without stopping,0.057319343
The musician creates thoughtfully sweet music although for hours when under the stars with friends,"The musician creates gentle and thoughtful music, even when he spends hours under the stars with friends",0.11734277
The engineer discovers peacefully in the garden and for hours while under the stars under,The engineer explores peacefully in the garden and for hours under the stars below,0.08909553
The musician teaches peacefully amazing structures and in the city and near the ocean for,The musician calmly teaches amazing buildings in the city and by the ocean,0.08340311
The writer explores enthusiastically in the garden because every day and in the city near,The writer enthusiastically investigates the garden because every day and in the nearby city,0.05822003
The teacher teaches creatively sweet music when under the stars while around the world with,"The teacher teaches soft and creative music under the stars, all over the world, with",0.07882553
The artist jumps enthusiastically new technologies and near the ocean because in the city around,The artist jumps enthusiastically on new technologies and approaches the sea because in the surrounding city,0.050521195
The scientist thinks creatively important lessons and in the morning because for hours for hours,The scientist thinks creatively about important lessons and in the morning because for hours upon hours,0.012231171
A dog jumps peacefully wonderful stories and in the morning although with great care in,A dog jumps calmly wonderful stories and in the morning although very carefully,0.100128114
